epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.8845,3.16656,3.8797,2.13046,0.00593,0.04061,0.00327,0.00089,4.59264,5.01506,2.03646,2e-05,2e-05,2e-05
2,75.6722,2.85192,3.17961,1.86519,0.12583,0.06091,0.02812,0.00844,3.72247,2.44612,1.44696,5.9406e-05,5.9406e-05,5.9406e-05
3,113.255,2.6178,2.05931,1.52091,0.29949,0.22335,0.1854,0.06256,2.75624,2.3826,1.0604,9.802e-05,9.802e-05,9.802e-05
4,149.505,2.17305,1.62265,1.1978,0.42635,0.27919,0.24289,0.08873,2.53938,2.12086,0.97827,0.000135842,0.000135842,0.000135842
5,185.628,1.95367,1.33465,1.15496,0.45498,0.2868,0.27855,0.10989,2.37111,1.72321,0.97255,0.000172872,0.000172872,0.000172872
6,222.095,1.76883,1.12647,1.11408,0.52114,0.30964,0.30763,0.12267,2.33597,1.54234,0.98671,0.00020911,0.00020911,0.00020911
7,258.751,1.77773,1.05818,1.09982,0.61392,0.31472,0.3494,0.14862,2.16226,1.50586,0.94838,0.000244556,0.000244556,0.000244556
8,295.9,1.76499,1.04739,1.07673,0.56875,0.36821,0.40776,0.17604,2.09674,3.58648,0.92212,0.00027921,0.00027921,0.00027921
9,331.895,1.48483,1.02838,1.03696,0.60823,0.33887,0.35715,0.15994,2.08733,2.03044,0.92154,0.000313072,0.000313072,0.000313072
10,366.356,1.50415,0.91667,1.03501,0.5033,0.28426,0.28084,0.12648,2.08836,2.0797,0.93104,0.000346142,0.000346142,0.000346142
11,400.569,1.61007,0.94605,1.04774,0.37748,0.28319,0.25415,0.10865,2.12967,3.29831,0.92611,0.00037842,0.00037842,0.00037842
12,434.715,1.4942,0.88854,1.0357,0.46356,0.29949,0.31128,0.13185,2.11644,2.97203,0.92947,0.000409906,0.000409906,0.000409906
13,469.804,1.52378,0.86823,1.03134,0.58159,0.32458,0.33347,0.14085,2.11541,2.28446,0.93595,0.0004406,0.0004406,0.0004406
14,504.453,1.46795,0.8258,1.03075,0.51528,0.30964,0.28818,0.10811,2.18524,3.66127,0.95538,0.000470502,0.000470502,0.000470502
15,538.903,1.48403,0.80119,1.02346,0.461,0.34518,0.32299,0.12411,2.16633,3.22438,0.95004,0.000499612,0.000499612,0.000499612
16,574.327,1.38213,0.78607,0.96574,0.49772,0.30711,0.32104,0.1305,2.19306,2.28761,0.94554,0.00052793,0.00052793,0.00052793
17,609.009,1.47113,0.74187,0.9955,0.50607,0.31472,0.34699,0.14954,2.11131,1.72305,0.92559,0.000555456,0.000555456,0.000555456
18,643.414,1.43596,0.76196,0.99991,0.5577,0.3731,0.40237,0.16955,2.11336,1.83151,0.93095,0.00058219,0.00058219,0.00058219
19,677.888,1.44086,0.76775,0.97478,0.55626,0.34772,0.36436,0.14747,2.25176,2.53552,0.94864,0.000608132,0.000608132,0.000608132
20,712.49,1.38294,0.74243,1.01017,0.64219,0.32741,0.36084,0.13482,2.30094,2.13479,0.95966,0.000633282,0.000633282,0.000633282
21,747.125,1.44282,0.80572,0.98506,0.57416,0.3401,0.35933,0.13852,2.21916,1.6987,0.94053,0.00065764,0.00065764,0.00065764
22,781.778,1.29793,0.69056,1.01803,0.73079,0.31218,0.38515,0.1583,2.18314,1.58125,0.93472,0.000681206,0.000681206,0.000681206
23,816.254,1.36073,0.70002,0.98243,0.68708,0.27919,0.35826,0.14811,2.2331,1.6631,0.94348,0.00070398,0.00070398,0.00070398
24,850.808,1.28776,0.66967,0.96291,0.41866,0.29442,0.28607,0.11449,2.33905,2.3069,0.96736,0.000725962,0.000725962,0.000725962
25,886.239,1.42438,0.70471,0.94437,0.23842,0.29188,0.13003,0.04675,2.30854,5.9531,0.96983,0.000747152,0.000747152,0.000747152
26,920.448,1.24267,0.6407,0.95988,0.20577,0.30774,0.11265,0.04231,2.23951,8.24166,0.95559,0.00076755,0.00076755,0.00076755
27,955.195,1.28968,0.66199,0.98317,0.53874,0.35533,0.35234,0.12611,2.40299,1.62033,0.97997,0.000787156,0.000787156,0.000787156
28,989.592,1.26301,0.66246,0.99595,0.53874,0.35533,0.35234,0.12611,2.40299,1.62033,0.97997,0.00080597,0.00080597,0.00080597
29,1023.98,1.27185,0.61959,0.93092,0.56479,0.33597,0.34255,0.12255,2.44637,1.43578,0.98935,0.000823992,0.000823992,0.000823992
30,1058.51,1.23497,0.59446,0.92915,0.57135,0.3586,0.37473,0.14504,2.3064,1.25441,0.97949,0.000841222,0.000841222,0.000841222
31,1093.1,1.34403,0.63818,0.93216,0.57135,0.3586,0.37473,0.14504,2.3064,1.25441,0.97949,0.00085766,0.00085766,0.00085766
32,1127.56,1.1998,0.62268,0.94364,0.5977,0.35533,0.38528,0.13862,2.28958,1.34391,0.96764,0.000873306,0.000873306,0.000873306
